text,name_intent,label
The cash I got at the ATM is still in my account.,pending_cash_withdrawal,47
How are the exchange rates determined?,exchange_rate,33
I have tried a couple of times to make a purchase and my card keeps getting declined. Why do you keep denying my transfers? I have already tried a couple of times and it's not working.,declined_transfer,28
"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done ?",transfer_fee_charged,64
What are the steps for identity checks?,verify_my_identity,69
Can you please assist on my item that needs to be refunded?,request_refund,52
"There are transactions that I don't remember making, i think someone might have gotten my card details and is now using it.",compromised_card,23
What is taking so long with my top up?,pending_top_up,48
I'm trying to make a bank transfer but It's not going through. Could there not be enough funds to transfer or something? Have I done it too many times?,failed_transfer,36
How can I change my password?,passcode_forgotten,45
Is it possible to hold money in different currencies?,fiat_currency_support,37
Can I top up any amount?,top_up_limits,60
Do I need to do something to get a new card once it expires?,card_about_to_expire,10
Is there extra fees for making a withdraw in a different country at a cash machine.,wrong_exchange_rate_for_cash_withdrawal,76
My card is broken,card_not_working,15
Can I mail in a check to top up?,top_up_by_cash_or_cheque,58
I have a top-up that's still pending and wanted to know about it.,pending_top_up,48
my check or cash deposit has not shown up,balance_not_updated_after_cheque_or_cash_deposit,7
"I have received my American express in apple play, looks like top up has an issue, please help?",apple_pay_or_google_pay,3
"I've made a transfer, how long until the money reaches my account?",transfer_timing,67
My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze it immediately.,compromised_card,23
Where in the app do I go to verify my identity?,verify_my_identity,69
Is there a way to modify my details?,edit_personal_details,31
I can't see all the refunds in my statement,Refund_not_showing_up,0
"My top up has been pending for an hour already, and I really need this to go through as soon as possible. Can you help?",pending_top_up,48
When I made a cash transfer abroad the wrong exchange rate was applied,wrong_exchange_rate_for_cash_withdrawal,76
Can I exchange currency to Europe?,fiat_currency_support,37
I can't use my card for anything,card_not_working,15
"Help me please, I need to top up cash.",top_up_by_cash_or_cheque,58
Can someone in the US have a card?,country_support,25
The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate,18
Why won't my top up work,top_up_failed,59
How can I lookup the source for my available money?,verify_source_of_funds,70
How do I activate my card that just arrived?,activate_my_card,1
"When I received my cash, the exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal,76
Does the auto top-up have any limits?,automatic_top_up,5
"Help me! When I was abroad, the exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal,76
I don't think that my top-up worked.,top_up_failed,59
"My card payment is just showing up as pending since forever, what's going on with that, when should it be going through?",pending_card_payment,46
What should I do after I've moved and need to update my personal details?,edit_personal_details,31
"I tried to withdraw cash, but got declined!",declined_cash_withdrawal,27
"I want to give a second card for this account to my daughter, would this be possible?",getting_spare_card,40
"I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain?",direct_debit_payment_not_recognised,29
How long is the wait for a money transfer to post?,pending_transfer,49
Could I get a mastercard if that's reasonable?,visa_or_mastercard,73
"I deposited some cash but it hasn't shown up in my account yet, what's going on?",balance_not_updated_after_cheque_or_cash_deposit,7
Can i get payed through this system?,receiving_money,51
My top up is still pending,pending_top_up,48
I haven't received money from a transfer?,transfer_not_received_by_recipient,66
"For some reason, the money I added was returned.",top_up_reverted,61
Can I get a card although I'm not in the UK,country_support,25
"I attempted a transfer, but it failed.",failed_transfer,36
Why is my card payment pending?,pending_card_payment,46
Why is my withdrawal wrong? I took out $100 but only received $20.,wrong_amount_of_cash_received,75
Verify top-up card help?,verify_top_up,71
Why do you need so much information about my identity?,why_verify_identity,74
Tell me how to verify a top up.,verify_top_up,71
"I have moved to a new house and set up a rent payment to my landlord, it was supposed to be in her account a few days ago but it hasn't arrived. I definitely sent it to the right place, can you confirm where the money is?",transfer_not_received_by_recipient,66
What is the refund procedure?,request_refund,52
Can I top up using cash?,top_up_by_cash_or_cheque,58
Where is the card PIN located?,get_physical_card,39
Why is the ATM not allowing me to get cash?,declined_cash_withdrawal,27
How is my card payment still pending?,pending_card_payment,46
Why is my transfer still pending after all this time?,pending_transfer,49
I didn't know I was going to get charged to use my card.,card_payment_fee_charged,16
What are the auto top-up policies?,automatic_top_up,5
I haven't received my card.,card_arrival,12
I moved and would like to change my address.,edit_personal_details,31
I live in the US and I would like to get a card. How do I go about getting one?,country_support,25
would a visa or mastercard be more suited to me?,visa_or_mastercard,73
Can I get an account for my daughter?,age_limit,2
I have a confusing payment appear on my statement and I don't recognise it!,card_payment_not_recognised,17
There was a charge applied when I used my card.,card_payment_fee_charged,16
I am angry that I got charged for using my card.,card_payment_fee_charged,16
Why do you need me to verify who I am?,why_verify_identity,74
I attempted to enter my pin to many times.,pin_blocked,50
Can you please explain to me why there is an extra €1 fee in my statement?,extra_charge_on_statement,35
My transfer was declined. What might the reason be?,declined_transfer,28
What is the verification process for my card?,verify_top_up,71
I put the wrong pin too many times and now it is blocked. Can you help me unblock it?,pin_blocked,50
I don't understand why my payment was declined. I thought everything was ok.,declined_card_payment,26
How to I close my account?,terminate_account,55
Can i cancel this purchase?,request_refund,52
I am under the impression that my top up is still pending,pending_top_up,48
"Hi, I'm trying to by some crypto and the app isn't allowing it. I really want to exchange this, what am I doing wrong?",beneficiary_not_allowed,8
"Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card?",declined_transfer,28
I can't activate my card?,activate_my_card,1
"My transfer was wrong, are you able to stop it before it goes through please?",cancel_transfer,9
I have an outgoing transaction,pending_transfer,49
are there any country restrictions?,country_support,25
"Change of location, need to change details",edit_personal_details,31
I've been checking my statement to see if I've received a refund I requested from a seller a while ago has arrived. But it has not. This should have come back to me already. Can you help me figure out why it's not here and get my money back?,Refund_not_showing_up,0
I need to make several disposable cards per day.,disposable_card_limits,30
Can you tell me what cards and currencies you support?,supported_cards_and_currencies,54
Do physical cards cost money?,order_physical_card,44
What caused my top-up to be returned?,top_up_reverted,61
I can't seem to make a standard bank transfer. I have tried at least five times already but none of them are going through. Please tell me what is wrong?,failed_transfer,36
Why is there an extra pound charge that is pending?,extra_charge_on_statement,35
Looks like my top up failed.,top_up_failed,59
I did not receive the correct amount for the exchange rate.,card_payment_wrong_exchange_rate,18
Where is the top-up verification code located?,verify_top_up,71
Can you tell me where I can order a disposable virtual card?,get_disposable_virtual_card,38
ATM only gave me $20 instead of $100,wrong_amount_of_cash_received,75
Why was my transaction declined?,failed_transfer,36
I believe I got a wrong exchange rate when I got cash.,wrong_exchange_rate_for_cash_withdrawal,76
Why isn't the recipient seeing the transaction? I just sent the money.,transfer_not_received_by_recipient,66
Are there restrictions on new cards in China?,card_about_to_expire,10
My transfer didn't work how come?,failed_transfer,36
"I have a question about ATM transactions. Can I take money out of an ATM when I'm traveling abroad? And, can I get the money in my home currancy?",wrong_exchange_rate_for_cash_withdrawal,76
"Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money.",cash_withdrawal_not_recognised,21
What do I do to close my account?,terminate_account,55
"My payment was put back, I think.",reverted_card_payment?,53
I need to change details about my personal account.,edit_personal_details,31
Is there a reason for my top up to be cancelled?,top_up_reverted,61
"I looked at my statement, and there is a charge for 1£ that I don't recognize. Why is it on there?",extra_charge_on_statement,35
How can I prove who I am?,verify_my_identity,69
I need to exchange foreign currency will i be charged?,exchange_charge,32
Are there any limits if I use these virtual cards?,disposable_card_limits,30
Today I was out eating and my card was declined. Why's that?,card_not_working,15
Why didn't the ATM give me all my money,wrong_amount_of_cash_received,75
"If I want a friend to top off my account, can they?",topping_up_by_card,62
I don't remember my login code,passcode_forgotten,45
How many transactions can be made with a disposable card?,disposable_card_limits,30
I would like my refund for this item I bought.,request_refund,52
There are a couple of payments with my card shown in the app that in reality I didn't make. Maybe someone has access to my card?Can you check whats the issue ?,card_payment_not_recognised,17
How can I change my name because I just got married?,edit_personal_details,31
who charged my card,transfer_fee_charged,64
Where did the €1 fee in my statement come from,extra_charge_on_statement,35
how do i setup my apple pay,apple_pay_or_google_pay,3
The cash I asked for still hasn't been received,wrong_amount_of_cash_received,75
I have a fee showing from last time I used my card.,card_payment_fee_charged,16
Do I have to manually top up once I'm too low?,automatic_top_up,5
What currencies can I hold?,fiat_currency_support,37
I think there has been a mistake with my transfer,declined_transfer,28
Hi I'm waiting for a refund for an item I bought. I have contacted the merchant directly but had nothing back. Can you tell me whether or not you are able to refund me for the item?,Refund_not_showing_up,0
what are the steps to activate my card?,activate_my_card,1
how do the cards work?,get_disposable_virtual_card,38
Tell me how to renew my new card?,activate_my_card,1
How do a reverse a duplicated charge?,transaction_charged_twice,63
I need to close my account. Your company is terrible!,terminate_account,55
Will it take more than 3 days for my transfer to reach my account?,transfer_timing,67
Why is my identity not verified?,unable_to_verify_identity,68
Please tell me why the same transaction is showing up on my account more than once.,transaction_charged_twice,63
What do I do if I still have not received my new card?,card_arrival,12
I got a €1 extra fee in my statement,extra_charge_on_statement,35
Is there a way yo change my PIN?,change_pin,22
I transfered my balance a while back. Why doesn't my account reflect this?,balance_not_updated_after_bank_transfer,6
How do I get started when I get my card?,get_physical_card,39
If I have a physical card can I link it?,card_linking,14
Do you offer services that hold money in different types of currency?,fiat_currency_support,37
Can I use the card at any cash machine?,atm_support,4
I did a transfer but the balance is the same.,balance_not_updated_after_bank_transfer,6
How can I change my address?,edit_personal_details,31
My top up did not go through yet.,pending_top_up,48
What should I do if I can't use my card?,card_not_working,15
What is this random charge of one pound doing on my account?,extra_charge_on_statement,35
I would like to return my purchases,request_refund,52
Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help!,card_payment_fee_charged,16
Google Pay Top up isn't working,apple_pay_or_google_pay,3
What is the fee for a cash withdrawal?,cash_withdrawal_charge,20
Does it matter if I use Visa or Mastercard?,visa_or_mastercard,73
Top up keeps failing,top_up_failed,59
I want to delete my account. How do I do this?,terminate_account,55
Why does it say my transfer failed?,failed_transfer,36
Whats wrong with my currency exchange?,wrong_exchange_rate_for_cash_withdrawal,76
What countries do your services support?,country_support,25
There is random cash in my account.,cash_withdrawal_not_recognised,21
What are the steps that I need to take to activate a new card?,activate_my_card,1
What about my children?,age_limit,2
There's a payment that isn't mine on my app,card_payment_not_recognised,17
Why do the top-ups need to be verified?,verify_top_up,71
Do you accept cheques for top ups?,top_up_by_cash_or_cheque,58
The cast deposit from a week ago still is not in my account. Why?,balance_not_updated_after_cheque_or_cash_deposit,7
What are my options for holding money in multiple currencies?,fiat_currency_support,37
What card types can I choose from?,visa_or_mastercard,73
I made a payment and it is showing up twice,transaction_charged_twice,63
Does google play offer the service to Top up?,apple_pay_or_google_pay,3
Why do I need to verify my account?,why_verify_identity,74
How do your exchange rates factor in?,exchange_rate,33
Money was transferred to me and I am unable to see it,pending_transfer,49
How would my friend be able to send me money?,receiving_money,51
How long do deposits take to appear? I've been waiting for more than a week and need the money!,balance_not_updated_after_cheque_or_cash_deposit,7
What do you do to transfer money to my account?,transfer_into_account,65
Which countries do you currently support?,country_support,25
"I'm waiting for the ID verification to go through still, so is it too soon to use my account?",why_verify_identity,74
"I'm hoping you can answer my question about a pending transfer that I've had for a while now. I know that all of the account details are correct, so why is it taking so long to go through?",pending_transfer,49
Can I setup top ups in advance?,automatic_top_up,5
There's been a transaction to the wrong account.,cancel_transfer,9
"My wallet was just stolen, and they've already used my card! Please help, I can't afford to lose more money!",cash_withdrawal_not_recognised,21
How long does it take for a payment to change from pending?,pending_card_payment,46
I noticed a charge for a transfer. Why is this? Is it because I did an international transfer?,transfer_fee_charged,64
What is the fee for accepting money from a foreign country?,exchange_charge,32
When did you start charging to make a withdrawal? How much is it now? I always thought it was free.,cash_withdrawal_charge,20
Can you tell me why a cheque deposit isn't showing in my balance?,balance_not_updated_after_cheque_or_cash_deposit,7
I need a physical card. What are the fees?,order_physical_card,44
What forms of ID work for verification?,verify_my_identity,69
Can this app exchange American and English currency?,exchange_via_app,34
"Hello, I am a college student who I recently attended my high school reunion at a local restaurant. I paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment. What could be the reason for this? Is there any way to have the fraudulent payment credited back onto my card?",transaction_charged_twice,63
I want to get a Visa,visa_or_mastercard,73
What's taking my top-up so long?,pending_top_up,48
Are there restrictions on disposable virtual cards?,disposable_card_limits,30
Are top-ups allowed using Apple Pay?,apple_pay_or_google_pay,3
"I got mugged yesterday and they took everything. I can't use the app, so I need some help.",lost_or_stolen_phone,43
I need to know what's going on. I was under the impression you offered cryto top up which doesn't seem to be working and money has just vanished from my account.,top_up_reverted,61
Why did you revert my top up?,top_up_reverted,61
I would like to activate my card.,activate_my_card,1
"How long do EU transfers take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",pending_transfer,49
I tried activating my card and it didn't work,activate_my_card,1
Why am I being charged to make cash withdrawals? I thought they were supposed to be free!,cash_withdrawal_charge,20
My identity verification is not working.,unable_to_verify_identity,68
My top up was rejected. Why?,top_up_reverted,61
Is there such thing as an auto top-up option?,automatic_top_up,5
Do I have to go to an actual bank to change my PIN?,change_pin,22
Which currencies can I use to add money?,supported_cards_and_currencies,54
How old do my kids need to be to use your service?,age_limit,2
How can I receive a virtual card?,getting_virtual_card,41
Can I get a second card for free?,getting_spare_card,40
"I'd like to make a SEPA transfer to my account, but will I be charged?",top_up_by_bank_transfer_charge,56
I can't find the PIN.,get_physical_card,39
Is there an age limit to open an account,age_limit,2
At what age can I open an account?,age_limit,2
The exchange rate for my cash withdrawal was incorrect,wrong_exchange_rate_for_cash_withdrawal,76
Are cards available to those outside of the UK?,country_support,25
How can disposable cards be used?,get_disposable_virtual_card,38
My latest transfer seems to be missing.,balance_not_updated_after_bank_transfer,6
What are acceptable documents to prove my identity?,verify_my_identity,69
Which flat currencies are supported for holding and exchange?,fiat_currency_support,37
Can I choose from either Visa or Mastercard?,visa_or_mastercard,73
"Everything I have was stolen yesterday making it so I don't have access to the app, what should I do?",lost_or_stolen_phone,43
How can I tell if an AMT will take this card?,atm_support,4
Tell me how I can verify a card top-up.,verify_top_up,71
I need my PIN unlocked.,pin_blocked,50
I have been charged twice for the same transaction.,transaction_charged_twice,63
"It's declining my transfers. Normally this works, but my card is being declined now and I've tried more than once.",declined_transfer,28
"The expiration date on my card is very soon, and I need to get a new one. What are the price and delivery options for my replacement card?",card_about_to_expire,10
What do I have to do to get my PIN unblocked?,pin_blocked,50
I can't see my cash deposit in my account.,balance_not_updated_after_cheque_or_cash_deposit,7
"I just bought an item and would like to stop payment, is this possible? The item has not been received yet.",request_refund,52
What is the fee to top-up my account,top_up_by_bank_transfer_charge,56
"I want to deposit funds, what payments are accepted?",supported_cards_and_currencies,54
I was declined when trying to withdrawal cash!,declined_cash_withdrawal,27
Why wouldn't a transfer go through?,failed_transfer,36
Can you help me figure out what is going on with a debit payment that is showing up on my account I am not sure is suppose to be there.,direct_debit_payment_not_recognised,29
I made a payment and it was reverted and wanted to know why?,reverted_card_payment?,53
Am I able to track the card that was just sent to me?,card_arrival,12
The machine only paid me a hundred when I wanted 20,wrong_amount_of_cash_received,75
"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long. Can you look into it and see if the money is there, just not in my account yet?",Refund_not_showing_up,0
"Looks like my card payment was made twice by mistake. I went to pay at the store earlier which rejected once, second time it worked. App is on pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice,63
I am seeing in the App a some cash withdrawal that does not belong to me,cash_withdrawal_not_recognised,21
"I enetered the wrong information, I need my account unblocked How do I do that?",pin_blocked,50
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement,35
Can I choose the day it's delivered?,card_delivery_estimate,13
What happens when a beneficiary can't receive my transfer?,beneficiary_not_allowed,8
I wish to use my American Express to put funds into my account.,supported_cards_and_currencies,54
Why can't I edit my personal details?,edit_personal_details,31
Is my card ready for use or does it need activated and if so how?,activate_my_card,1
I've checked multiple times to make sure the account number listed is the right one after attempting to make a transfer within the country the day before yesterday. The transfer is still not available so can you please find out what is going on?,transfer_not_received_by_recipient,66
How can I cancel my transfer?,cancel_transfer,9
I think the exchange rate for the cash I withdrew wasn't correct.,wrong_exchange_rate_for_cash_withdrawal,76
I believe that a card payment I made was cancelled.,reverted_card_payment?,53
Why is the pending status on my cash withdrawal taking so long?,pending_cash_withdrawal,47
I tried to withdraw 50 pounds but it only gave me 30. Where is the rest of my money?,wrong_amount_of_cash_received,75
What kind of costs are involved for exchanging currency?,exchange_charge,32
I bought something and now I want a refund.,request_refund,52
I entered the correct pin but I still couldnt get funds.,declined_cash_withdrawal,27
"I tried to use my debit card, but the payment did not work.",reverted_card_payment?,53
"new customer and filling gas for the first time today, not working,",pending_top_up,48
What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap.,balance_not_updated_after_cheque_or_cash_deposit,7
Why can't I take money from my account?,declined_cash_withdrawal,27
Please tell me how the exchange rate is determined. I was expecting more money for the transaction.,wrong_exchange_rate_for_cash_withdrawal,76
Please verify my top-up card,verify_top_up,71
How long will my transfer be pending?,pending_transfer,49
Can I create my own top-up limit?,top_up_limits,60
I deposited a cheque but the cash hasn't arrived yet,balance_not_updated_after_cheque_or_cash_deposit,7
"I may need to exchange my USD for GBP, can your app do that?",exchange_via_app,34
Can I activate my card?,activate_my_card,1
My transfer's stuck on pending.,pending_transfer,49
How long does it take for a top up to go through,pending_top_up,48
My payment was terminated,reverted_card_payment?,53
When will the check I deposited post to my account?,balance_not_updated_after_cheque_or_cash_deposit,7
How do I get my card back quickly from a bank machine that it?,card_swallowed,19
Which countries do you support?,country_support,25
What is wrong with my top-up?,pending_top_up,48
"I need to verify a payment to my new landlord. I transferred the first rent payment a few days ago. While it shows on my side, the landlord is saying he hasn't received it yet. Can you verify that it has processed?",transfer_not_received_by_recipient,66
How do I get to the virtual cards?,getting_virtual_card,41
My card didn't work at the ATM in Notting Hill. Is my card working?,declined_cash_withdrawal,27
I didn't receive the amount of cash I requested for the ATM.,wrong_amount_of_cash_received,75
Top-up is not working,top_up_failed,59
Is it possible that my card payment was reverted?,reverted_card_payment?,53
Looks like my top-up has been cancelled,top_up_failed,59
My identity has been stolen. I still have my physical card but there are charges I didn't make on my account. How do I cancel this card or dispute the charges?,cash_withdrawal_not_recognised,21
Do you offer disposable virtual cards too?,get_disposable_virtual_card,38
How long does it typically take for a pending ATM withdrawal to clear?,pending_cash_withdrawal,47
What do I do to Top up my card?,topping_up_by_card,62
I would like to change the the PIN on my card.,change_pin,22
My transfer to an account failed.,beneficiary_not_allowed,8
what's my top-up verification code?,verify_top_up,71
I was only given $20 after trying to withdraw $100,wrong_amount_of_cash_received,75
"i am not a premium customer but i want a virtual card, how do i get it",disposable_card_limits,30
The app does not know it is me.,unable_to_verify_identity,68
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",cash_withdrawal_charge,20
what cards can i use to add money to my account,supported_cards_and_currencies,54
Is it possible to track the card you sent me?,card_arrival,12
where can i deposit a check,top_up_by_cash_or_cheque,58
"Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.",wrong_amount_of_cash_received,75
My top up is pending still,pending_top_up,48
How can I transfer money into my account?,transfer_into_account,65
Is there a way to set up an auto top-up?,automatic_top_up,5
The exchange rate is incorrect for my cash withdrawal transaction.,wrong_exchange_rate_for_cash_withdrawal,76
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",extra_charge_on_statement,35
Why hasn't my return cleared my account?,Refund_not_showing_up,0
the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate,18
I tried withdrawing but my cash is not showing up?,wrong_amount_of_cash_received,75
I was the victim of someone stealing my wallet. My card is being used and it isn't me. What should I do?,cash_withdrawal_not_recognised,21
I looked at my statement and found a payment I and found a mistake.,card_payment_not_recognised,17
I haven't been able to complete any transactions on my card today. Do you know what's wrong?,card_not_working,15
What are the benefits of a disposable card?,get_disposable_virtual_card,38
i noticed that the funds were returned to my bank account. What happened?,top_up_reverted,61
Money transfer help? How long?,transfer_timing,67
I don't have the means to prove my identity.,unable_to_verify_identity,68
Why do I have to give you my drivers license,why_verify_identity,74
Please explain why my payment was declined? I thought everything was good.,declined_card_payment,26
What are my payment options for topping off my account?,top_up_by_cash_or_cheque,58
Why hasnt my top up gone through yet?? I thought it was suppose to be instant? Am I wrong? Why is it still pending?,pending_top_up,48
Why have I been charged for pulling cash out of my own account?,cash_withdrawal_charge,20
My card won't physically work.,card_not_working,15
Where are you getting your exchange rates from?,exchange_rate,33
How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,transfer_not_received_by_recipient,66
Which merchants accept my card?,card_acceptance,11
I want to top up my account. Can I do it with Google Pay?,apple_pay_or_google_pay,3
How can I fix my bank transfer to show up on my bank account?,balance_not_updated_after_bank_transfer,6
Do you offer free ATM withdrawals of ones hometown currency while on holiday?,wrong_exchange_rate_for_cash_withdrawal,76
Can exchanged be made to EUR?,fiat_currency_support,37
Why is my last transfer pending?,pending_transfer,49
My top-up was rejected by an app.,top_up_failed,59
When will I be able to see my refund?,Refund_not_showing_up,0
Where is the cash deposit I made?,balance_not_updated_after_cheque_or_cash_deposit,7
There's something wrong on my bill. A transfer fee should never have been added.,transfer_fee_charged,64
What kind of security protects my money?,verify_source_of_funds,70
I just bought an item and changed my mind. I have not received it yet how can I get refunded. Thank you.,request_refund,52
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate,18
What do I do if I forgot my passcode?,passcode_forgotten,45
Can you tell me how to get a disposable virtual card?,get_disposable_virtual_card,38
how do i get a refund for a direct debit payment i didn't make,direct_debit_payment_not_recognised,29
Where do I go to see the source of my available money?,verify_source_of_funds,70
Will my card be a MasterCard or a Visa?,visa_or_mastercard,73
what is the fee for a transfer into my account,top_up_by_bank_transfer_charge,56
Was I charged extra for using my card?,card_payment_fee_charged,16
There is a direct debit set up that I didn't create.,direct_debit_payment_not_recognised,29
There is a direct debit patentp that I haven't authorized.,direct_debit_payment_not_recognised,29
I lost my phone! Will my card still work?,lost_or_stolen_phone,43
Can I use SWIFT transfers?,top_up_by_bank_transfer_charge,56
I did not have the right exchange rate applied to my situation of pulling out cash,wrong_exchange_rate_for_cash_withdrawal,76
What should I do if I think that someone might be using me card?,compromised_card,23
"Okay, I found my card, can I put it back in the app?",card_linking,14
I was declined when I tried to withdraw cash!,declined_cash_withdrawal,27
I would like to get your card in EU. Is that possible?,country_support,25
I am still waiting on my bank transfer,balance_not_updated_after_bank_transfer,6
Can I top up for free using a European card?,top_up_by_card_charge,57
Why was I unable to finish this transfer?,failed_transfer,36
Please explain to me how to know where my funds are from.,verify_source_of_funds,70
Can I use my American Express card to add money into my account?,supported_cards_and_currencies,54
"I need help to resolve mix up on my card payment. My account shows the money was taken out and then put back in the account. Then I received a message from the seller, It said that they did not get my payment.",reverted_card_payment?,53
The top-up I ordered didn't process.,top_up_failed,59
Can I use a different currency with my salary?,receiving_money,51
"my balance has not changed, despite depositing a cheque",balance_not_updated_after_cheque_or_cash_deposit,7
I need to transfer money to my account from another bank,transfer_into_account,65
Please tell me how disposable virtual cards work?,get_disposable_virtual_card,38
How can I periodically check the delivery of the card you sent?,card_arrival,12
How many purchases can I make with one disposable card?,disposable_card_limits,30
Will I be charged for topping up by transfer?,top_up_by_bank_transfer_charge,56
I need to check status as my friend hasn't got money I sent.,transfer_not_received_by_recipient,66
make my account go away,terminate_account,55
I am unaware of what my password is.,passcode_forgotten,45
How do I report a cash withdrawal that wasn't me?,cash_withdrawal_not_recognised,21
Why is there a random payment in my statement?,card_payment_not_recognised,17
"I did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. When does this actually go through?",pending_card_payment,46
What is the process to activate a card,activate_my_card,1
I am yet to receive my pin.,get_physical_card,39
i need to expedite my card,card_delivery_estimate,13
"If someone sends me money, will I be charged?",top_up_by_bank_transfer_charge,56
"I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back?",transaction_charged_twice,63
I would like to receive my salary in a different currency. How does that work?,receiving_money,51
How can I alteration my PIN?,change_pin,22
What ATMs accept my card?,atm_support,4
